STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT06,WT08
USW00024131,"BOISE AIR TERMINAL, ID US",3/13/2021,6.04,,0,0,0,41,59,26,300,310,15,21,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/14/2021,6.93,,0,0,0,47,66,34,140,140,17,21.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/15/2021,9.4,,0,0,0,51,62,36,280,280,23.9,31.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/16/2021,8.5,,0,0,0,42,56,33,300,300,21,25.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/17/2021,8.28,,0,0,0,45,62,32,140,130,17,25.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/18/2021,12.3,,0,0,0,53,69,41,120,110,23,31.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/19/2021,7.16,,0.19,0,0,55,59,47,120,200,14.1,21,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/20/2021,12.3,,0,0,0,48,54,37,300,310,25.9,35.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/21/2021,6.49,,0,0,0,41,51,31,300,280,15,23.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/22/2021,7.61,,0.46,0.5,0,41,46,33,300,310,30,36.9,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/23/2021,15.66,,0,0,0,38,53,31,310,320,28,36.9,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/24/2021,5.59,,0.05,0,0,39,48,27,90,90,17,21,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/25/2021,9.84,,0.19,0,0,40,50,35,10,350,23,33.1,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/26/2021,11.63,,0,0,0,42,56,32,310,330,21.9,29.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/27/2021,5.59,,0,0,0,45,62,32,130,290,12.1,19,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/28/2021,11.41,,0,0,0,54,75,41,280,300,32,48.1,,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",3/29/2021,18.57,,0,0,0,49,61,31,330,300,38.9,61.1,,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",3/30/2021,8.05,,0,0,0,37,48,27,300,290,21.9,33.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",3/31/2021,9.17,,0,0,0,41,60,29,140,160,16.1,21.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/1/2021,12.3,,0,0,0,52,75,36,160,160,23.9,33.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/2/2021,8.05,,0,0,0,58,73,42,120,110,15,19,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/3/2021,6.49,,0,0,0,61,78,46,120,120,17,21,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/4/2021,5.59,,0,0,0,61,73,47,300,300,15,19.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/5/2021,15.21,,0,0,0,51,53,40,320,310,23.9,35.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/6/2021,11.86,,0,0,0,44,60,33,300,290,21,31.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/7/2021,7.61,,0,0,0,53,71,40,200,210,23,33.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/8/2021,13.65,,0,0,0,53,55,35,330,360,28,36.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/9/2021,5.37,,0,0,0,43,62,28,140,140,15,18.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/10/2021,13.2,,0,0,0,50,61,36,350,340,30,40,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/11/2021,12.53,,0,0,0,41,52,28,320,340,21.9,33.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/12/2021,3.8,,0,0,0,41,57,26,200,200,14.1,19,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/13/2021,6.71,,0,0,0,47,57,33,320,330,18.1,21.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/14/2021,6.93,,0,0,0,48,58,38,210,220,14.1,23,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/15/2021,8.28,,0,0,0,50,63,40,140,300,19.9,29.1,,,,,,
